"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"862","Alfalfa meal and pellets","Alfalfa (lucerne) dried, whole, cut, chopped, milled, pressed or pelletized.","","121410","121410","23320"
"231","Almonds shelled","Around 55% of the weight in shell.","","080212","080212","21422"
"1171","Animals live nes","Any other animal grown for meat, eggs, feathers and skins, e.g. ostrich, antelope, deer, reindeer, chamois.","","010611, 010612, 010619, 010620, 010639, 010690","010611, 010612, 010619, 010620, 010633, 010649","02199.20"
"1169","Animals, live, non-food","Any animal not raised for food. External trade data also include wild animals.","","010611, 010612, 010619, 010620, 110690","010611, 010612, 010619, 010620, 110690","02199.10"
"711","Anise, badian, fennel, coriander","Include: anise (Pimpinella anisum); badian or star anise (Illicium verum); caraway (Carum carvi); coriander (Coriandrum sativum); cumin (Cuminum cyminum); fennel (Foeniculum vulgare); juniper berries (Juniperus communis). Seeds and berries from the various plants listed. They are normally used as spices, but also have industrial (e.g. in distilleries) and medicinal applications.","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962","01654"
"515","Apples","Malus pumila; M. sylvestris; M. communis; Pyrus malus.","","080810","080810","01341"
"526","Apricots","Prunus armeniaca.","","080910","080910","01343"
"527","Apricots, dry","Prepared either by direct drying in the sun or by industrial processes. May be marketed as slices or blocks of pulp, either dried or evaporated.","","081310","081310","21419.01"
"366","Artichokes","Cynara scolymus.","","070990","070991","01216"
"367","Asparagus","Asparagus officinalis.","","070920","070920","01211"
"1107","Asses","Equus asinus. See 866.","","010110, 010190","010130","02132"
"572","Avocados","Persea americana.","","080440","080440","01311"
"1039","Bacon and ham","Meat of pigs, whether salted, in brine, dried or smoked.","","021011, 021012, 021019","021011, 021012, 021019","21181"
"203","Bambara beans","Bambara groundnut, earth pea (Voandzeia subterranea). These beand are grown underground in a similar way to groundnuts.","","071339","071334","01708"
"486","Bananas","Musa sapientum; M. cavendishii; M. nana. Bananas are normally eaten raw. Trade figures may include dried bananas. Data should be reported excluding the weight of the central stalk.","","080300","080390","01312"
"44","Barley","Hordeum spp.: two-row barley (H. disticum) six-row barley (H. hexasticum) four-row barley (H. vulgare). Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute.","","100300","100310, 100390","0115"
"46","Barley, pearled","Small, round pellets obtained by the further milling of pot barley. This definition also includes kibbled, rolled or flaked grains.","","110419, 110429","110419, 110429","23140.05"
